Isaac Lopez Integrated School,Mandaluyong
Benigno Aquino Jr. High School,Caloocan
Deparo High School,Caloocan
Sta. Lucia High School,Pasig
Benigno Aquino Jr. High School,Caloocan
Kasarinlan High School,Caloocan
Sta. Lucia High School,Pasig
Benigno Aquino Jr. High School,Caloocan
San Rafael National High School,Navotas
Barangka National High School,Marikina
Amparo High School,Caloocan
Tugatog National High School,Malabon
F. Torres High School,Manila
Caloocan High School,Caloocan
Caloocan High School,Caloocan
Amparo High School,Caloocan
MNHS-Concepcion Tech-Voc Annex,Malabon
Manggahan High School,Pasig
Caloocan High School,Caloocan
Camarin High School,Caloocan
Caloocan High School,Caloocan
Sta. Elena High School,Marikina
San Joaquin - Kalawaan High School,Pasig
Sta. Elena High School,Marikina
Manuel L. Quezon High School (Manila),Manila
Panghulo National High School,Malabon
A.J. Villegas Vocational School,Manila
Manggahan High School,Pasig
Fortune High School,Marikina
Camarin High School,Caloocan
Baesa High School,Caloocan
Rizal Technological University,Mandaluyong
Manuel L. Quezon High School (Caloocan),Caloocan
Elpidio Quirino High School,Manila
Marikina High School,Marikina
Rizal High School,Pasig
Vicente P. Trinidad National High School,Valenzuela
Marikina High School,Marikina
Llano High School,Caloocan
Rizal High School,Pasig
Ta¤ong High School,Marikina
R. Magsaysay High School,Manila
Malabon National High School,Malabon
RESPSCI,Pasig
Sto. Ni¤o National High School,Marikina
Pasig City Science High School,Pasig
Nagpayong High School,Pasig
Jose P.Laurel High School-Manila,Manila
Malabon National High School,Malabon
Wawangpulo National High School,Valenzuela
Santolan High School,Pasig
Kalayaan National High School,Caloocan
Bagumbong High School Annex (Northville),Caloocan
Victorino Mapa High School,Manila
Kalayaan National High School,Caloocan
Fortune High School,Marikina
M.B. Asistio Sr. High School - Unit I,Caloocan
Mountain Heights High School,Caloocan
Tinajeros National High School,Malabon
Esteban Abada High School,Manila
Tanza National High School,Navotas
Eulogio Rodriguez Integrated School,Mandaluyong
Sampaguita High School,Caloocan
E.Aguinaldo Integrated High School,Manila
Rizal High School,Pasig
Tangos National High School,Navotas
Eulogio Rodriguez Integrated School,Mandaluyong
Camarin High School,Caloocan
Sta. Elena High School,Marikina
Highway Hills Integrated School,Mandaluyong
Camarin High School,Caloocan
Tangos National High School,Navotas
Marikina High School,Marikina
Panghulo National high School,Malabon
I.Villamor High School,Manila
Kaunlaran High School,Navotas
Marikina High School,Marikina
Mataas na Paaralang Neptali A. Gonzales,Mandaluyong
Caybiga High School,Caloocan
Mataas na Paaralang Neptali A. Gonzales,Mandaluyong
R. Magsaysay High School,Manila
San Joaquin - Kalawaan High School,Pasig
San Roque National High School - Navotas,Navotas
Mandaluyong High School,Mandaluyong
Mandaluyong High School,Mandaluyong
Tala High School,Caloocan
Ta¤ong National High School - Malabon,Malabon
Nagpayong High School,Pasig
Tala High School,Caloocan
A. Maceda Integrated-Sta. Mesa,Manila
Ta¤ong National High School - Malabon,Malabon
Tala High School,Caloocan
Jose P.Laurel High School-Manila,Manila
Navotas National High School,Navotas
San Roque National High School - Navotas,Navotas
Malanday National High School,Marikina
Tala High School,Caloocan
Malanday National High School,Marikina
Deparo High School,Caloocan
Nangka High School,Marikina
Sagad High School Pasig,Pasig
Parang High School,Marikina
Pasig City Science High School,Pasig
San Juan National High School,San Juan
Parada National High School,Valenzuela
Maypajo High School,Caloocan
San Roque National High School - Marikina,Marikina
Catmon Integrated School,Malabon
Victorino Mapa High School,Manila
San Juan National High School,San Juan
Kaunlaran High School,Navotas
F. Torres High School,Manila
C. Arellano High School,Manila
Sto. Ni¤o National High School,Marikina
Baesa High School,Caloocan
Pangarap High School,Caloocan
Talipapa High School,Caloocan
San Juan National High School,San Juan
Longos National High School,Malabon
Caloocan City Business High School,Caloocan
Maria Clara High School,Caloocan
Vicente P. Trinidad National High School,Valenzuela
Pinagbuhatan High School,Pasig
C. Arellano High School,Manila
Ilaya Barangka Integrated School,Mandaluyong
Pinagbuhatan High School,Pasig
Pres. Sergio Osme¤a High Sch.,Manila
NHC High School,Caloocan
Malabon National High School,Malabon
Andres Bonifacio Integrated School,Mandaluyong
Kalumpang National High School,Marikina
Bagong Barrio National High School,Caloocan
Claro M. Recto High School,Manila
NHC High School,Caloocan
Bagong Silang High School,Caloocan
Longos National High School,Malabon
Araullo High School,Manila
Elpidio Quirino High School (Manila),Manila
Manuel L. Quezon High School (Caloocan),Caloocan
Cielito Zamora High School,Caloocan
Jose Abad Santos High School,Manila
Tinajeros National High School,Malabon
Caloocan High School,Caloocan
San Juan National High School,San Juan
Nagpayong High School,Pasig
UE Manila ESLS,Manila
Manila High School,Manila
Manuel A. Roxas High School,Manila
Manila High School,Manila
Bagumbong High School,Caloocan
Tondo High School,Manila
Bagong Silang High School,Caloocan
Caloocan City Science High School,Caloocan
San Juan National High School,San Juan
E.Aguinaldo Integrated High School,Manila
E. Rodriguez Voc. HS,Manila
Bagong Barrio National High School,Caloocan
F.G. Calderon Integrated School,Manila
Kasarinlan High School,Caloocan
Potrero National High School,Malabon
Lakan Dula High School,Manila
President Sergio Osme¤a High School,Manila
Dr. Juan G. Nolasco High School,Manila
Tugatog National High School,Malabon
Mariano Marcos Memorial High School,Manila
Cielito Zamora High School Annex II,Caloocan
Marikina Heights High School,Marikina
Cielito Zamora High School Annex II,Caloocan
Santolan High School,Pasig
Santolan High School,Pasig
Lakan Dula High School,Manila
T. Paez Integrated School,Manila
Tondo High School,Manila
Esteban Abada High School,Manila
Lakan Dula High School,Manila
F.G. Calderon Integrated School,Manila
Marikina Science High School,Marikina
Eusebio High School,Pasig
Tandang Sora Integrated School,Caloocan
Mariano Marcos Memorial High School,Manila
Jose Abad Santos High School,Manila
Cielito Zamora High School,Caloocan
M.B. Asistio Sr. High School,Caloocan
M.B. Asistio Sr. High School,Caloocan
